elapsed_s,theta1_deg,theta2_deg,x_mm,y_mm
0.000000,33.063843,113.804280,41.967999,136.492775
0.055600,33.308544,107.636167,47.704991,145.379120
0.111100,33.871112,93.455640,63.908034,163.118027
0.166700,34.498378,77.644286,85.929927,177.582258
0.229100,34.961667,65.966243,103.972964,184.140889
0.284700,32.377588,65.000000,113.839849,179.496620
0.340300,20.142596,65.000000,149.293394,151.294516
0.395800,3.817593,65.000000,185.800988,103.230521
0.451300,-10.047152,65.000000,205.124714,55.699186
0.506900,-14.742028,64.977568,209.025506,38.697932
0.562400,2.917028,63.441998,189.906068,99.241081
0.618100,37.743836,60.413580,104.423991,190.808028
0.673600,74.344273,57.230933,-25.881781,219.243616
0.729100,97.723193,55.197983,-109.196207,194.160919
0.784600,102.608085,54.478383,-124.851490,185.317046
0.840200,114.829723,52.034055,-160.371690,158.860664
0.895800,131.182407,48.763519,-198.768715,112.986947
0.951300,145.047152,45.990570,-221.093705,66.789794
1.000000,150.000000,45.000000,-226.496393,49.118095
